Package,LibPath,Version,Priority,Built
abind,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4-5,NA,3.6.0
acepack,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.1,NA,3.6.0
aiR,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.0.0.9000,NA,3.6.0
airPb,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.0.0.9000,NA,3.6.0
archivist,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.3.4,NA,3.6.0
argparser,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.4,NA,3.6.0
askpass,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1,NA,3.6.0
assertthat,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.1,NA,3.6.0
automagic,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.5.1,NA,3.6.0
aws.s3,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.12,NA,3.6.0
aws.signature,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.5.2,NA,3.6.0
backports,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.5,NA,3.6.0
base,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.0,base,3.6.0
base64enc,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1-3,NA,3.6.0
BH,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.72.0-3,NA,3.6.0
bibtex,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.4.2,NA,3.6.0
biscale,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.2,NA,3.6.0
bit,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1-14,NA,3.6.0
bit64,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.9-7,NA,3.6.0
bitops,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0-6,NA,3.6.0
blob,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2.0,NA,3.6.0
bookdown,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.12,NA,3.6.0
boot,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3-22,recommended,3.6.0
brew,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0-6,NA,3.6.0
broom,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.5.2,NA,3.6.0
cairoDevice,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.26,NA,3.6.0
callr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.3.2,NA,3.6.0
car,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.0-3,NA,3.6.0
